title,genre,director,runtime,pace,imdb,plot
Scarface,Crime,Brian De Palma,170,Medium,8.3,"A Cuban immigrant rises through the drug trade."
La La Land,Romance,Damien Chazelle,128,Medium,8.0,"Two artists pursue love and their dreams in Los Angeles."
Before Sunrise,Romance,Richard Linklater,101,Slow,8.1,"Two strangers spend one night exploring Vienna."
Eternal Sunshine of the Spotless Mind,Romance,Michel Gondry,108,Slow,8.3,"A couple undergoes a procedure to erase memories."
Titanic,Romance,James Cameron,194,Medium,7.9,"Two young lovers meet aboard the doomed Titanic."
The Grand Budapest Hotel,Comedy,Wes Anderson,99,Fast,8.1,"A hotel concierge becomes involved in a murder mystery."
The Hangover,Comedy,Todd Phillips,100,Fast,7.7,"Friends retrace their steps after a wild bachelor party."
Superbad,Comedy,Greg Mottola,113,Fast,7.6,"Teenagers try to enjoy their final days before college."
Jojo Rabbit,Comedy,Taika Waititi,108,Medium,7.9,"A young boy's imaginary friend is Adolf Hitler."
1917,War,Sam Mendes,119,Fast,8.2,"Two soldiers race across enemy territory during World War I."
Saving Private Ryan,War,Steven Spielberg,169,Fast,8.6,"Soldiers search for a missing paratrooper during World War II."
Dunkirk,War,Christopher Nolan,106,Fast,7.8,"Allied troops attempt evacuation during World War II."
Rocky,Sports,John G. Avildsen,120,Medium,8.1,"An underdog boxer gets a chance at the championship."
Ford v Ferrari,Sports,James Mangold,152,Fast,8.1,"Engineers build a race car to challenge Ferrari."
Moneyball,Sports,Bennett Miller,133,Medium,7.6,"A baseball manager uses analytics to build a team."
3 Idiots,Drama,Rajkumar Hirani,170,Medium,8.4,"Three engineering students navigate college and friendship."
Drishyam,Thriller,Nishikant Kamat,163,Slow,8.2,"A family man uses intelligence to protect his family."
Baahubali: The Beginning,Fantasy,S. S. Rajamouli,159,Fast,8.0,"A young man discovers his royal heritage."
RRR,Action,S. S. Rajamouli,182,Fast,7.8,"Two revolutionaries fight against British rule."
Jai Bhim,Drama,T. J. Gnanavel,164,Slow,8.7,"A lawyer fights for justice against police brutality."
